SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1009 72nd Ave,Oakland,CA,94621-3240,360000,2,1.0,Oakland,718,2600,1927,98,501,,Active,,,http://www.redfin.com/CA/Oakland/1009-72nd-Ave-94621/home/910304,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921858,N,Y,37.7564812,-122.1929741
MLS Listing,,Single Family Residential,9430 Mountain Blvd,Oakland,CA,94605,867000,4,2.5,Sequoyah,2330,8359,1996,100,372,,Active,,,http://www.redfin.com/CA/Oakland/9430-Mountain-Blvd-94605/home/585857,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921445,N,Y,37.758624,-122.1472617
MLS Listing,,Multi-Family (2-4 Unit),2814 38th Ave,OAKLAND,CA,94619,534000,,,OAKLAND,1344,3800,1943,100,397,,Active,,,http://www.redfin.com/CA/Oakland/2814-38th-Ave-94619/home/1820750,MLSListings,ML81811673,N,Y,37.7863418,-122.2050004
MLS Listing,,Multi-Family (2-4 Unit),2466 Seminary Ave,Oakland,CA,94605-1338,750000,4,2.0,Oakland,2028,4400,1939,101,370,,Active,,,http://www.redfin.com/CA/Oakland/2466-Seminary-Ave-94605/home/910115,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921531,N,Y,37.7704794,-122.1916106
MLS Listing,,Condo/Co-op,200 2nd St #206,Oakland,CA,94607-4575,550000,1,1.0,Jack London,602,19985,2006,101,914,415,Active,,,http://www.redfin.com/CA/Oakland/200-2nd-St-94607/unit-206/home/12116119,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921514,N,Y,37.7941175,-122.2706923
MLS Listing,,Single Family Residential,3616 Richmond Blvd,Oakland,CA,94611,1000000,3,1.5,Piedmont Avenue,1198,3920,1914,101,835,,Active,,,http://www.redfin.com/CA/Oakland/3616-Richmond-Blvd-94611/home/1861209,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921494,N,Y,37.8220045,-122.2561056
MLS Listing,,Condo/Co-op,1201 Pine St #364,Oakland,CA,94607,510000,1,1.0,West Oakland,925,,2009,101,551,315,Active,,,http://www.redfin.com/CA/Oakland/1201-Pine-St-94607/unit-364/home/28696845,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921430,N,Y,37.8128675,-122.3004322
MLS Listing,,Single Family Residential,1220 71st Ave,Oakland,CA,94621-3222,449900,2,1.0,Eastmont,704,3484,1920,102,639,,Active,,,http://www.redfin.com/CA/Oakland/1220-71st-Ave-94621/home/1543825,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921362,N,Y,37.7592844,-122.1894047
MLS Listing,,Townhouse,471 Jean St Unit C,Oakland,CA,94610,975000,2,2.0,Grand Lake,1151,933,2019,103,847,,Active,,,http://www.redfin.com/CA/Oakland/471-Jean-St-94610/unit-C/home/167190527,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40921100,N,Y,37.8153728,-122.2504126
MLS Listing,,Vacant Land,6500 San Pablo Ave,Oakland,CA,94608,1525000,,,Oakland,,3999,,104,,,Active,,,http://www.redfin.com/CA/Oakland/6500-San-Pablo-Ave-94608/home/105814363,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40920887,N,Y,37.84826,-122.28508
